cg15972243,RNLS,10,TSS1500;TSS1500,S_Shore,0.5978724,0.18259155,0.415280876,1.138882e-13
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg19323951,SLC22A20,11,Body,N_Shore,0.03741452,0.3635858,-0.326171291,1.341488e-23
cg23930334,SLC22A20,11,Body,Island,0.06479586,0.5797429,-0.514947065,2.814362e-27
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg21515023,TERT,5,3'UTR;3'UTR,Island,0.8404060,0.5002015,0.340204485,5.622378e-11
cg08295072,TERT,5,Body;Body,S_Shelf,0.8136371,0.4655804,0.348056732,2.659382e-16
cg21612170,TERT,5,Body;Body,<NA>,0.8202543,0.4253016,0.394952676,2.106241e-19
cg08934976,TERT,5,Body;Body,<NA>,0.9083599,0.5554402,0.352919687,1.688183e-20
cg06942978,TERT,5,Body;Body,<NA>,0.7357348,0.3551529,0.380581914,2.862297e-13
cg24908166,TERT,5,Body;Body,N_Shore,0.8810593,0.5551904,0.325868941,6.086366e-15
cg24131141,TERT,5,Body;Body,Island,0.7775449,0.3200064,0.457538537,2.632171e-14
cg01256882,TERT,5,Body;Body,Island,0.8088682,0.4808285,0.328039619,4.932530e-17
cg27298526,TERT,5,Body;Body,N_Shelf,0.8389154,0.3974623,0.441453094,1.619428e-16
cg06560300,TERT,5,Body;Body,S_Shore,0.9183804,0.5046115,0.413768877,5.779392e-21
cg06674436,TERT,5,Body;Body,S_Shore,0.9235578,0.4887107,0.434847121,6.849822e-23
cg11832804,TERT,5,Body;Body,S_Shore,0.8362024,0.4171849,0.419017425,5.249745e-18
cg08994336,TERT,5,Body;Body,S_Shore,0.9207453,0.5763508,0.344394522,1.710692e-19
cg07728485,TERT,5,Body;Body,S_Shore,0.8977294,0.5531747,0.344554710,1.560624e-20
cg13995918,TERT,5,Body;Body,N_Shelf,0.8970265,0.4928396,0.404186870,4.952424e-18
cg04524431,TERT,5,Body;Body,S_Shore,0.8903292,0.4911972,0.399132046,1.814409e-19
cg25518571,TERT,5,Body;Body,N_Shore,0.8450775,0.4538288,0.391248720,2.083041e-18
cg17765437,TERT,5,Body;Body,Island,0.8249796,0.5111355,0.313844061,7.543305e-18
cg16750953,TERT,5,Body;Body,Island,0.7968257,0.4442661,0.352559638,4.606598e-17
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg04777612,UNK,17,Body,<NA>,0.92491122,0.55180062,0.3731105989,2.404544e-16
cg13162581,UNK,17,Body,<NA>,0.91799559,0.51665916,0.4013364319,1.056629e-15
cg05647756,UNK,17,Body,<NA>,0.80886105,0.41801131,0.3908497353,3.999343e-17
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg04273303,WNT3A,1,Body,Island,0.35402417,0.04641162,0.3076125530,4.542421e-08
cg09227621,WNT3A,1,Body,Island,0.42072033,0.08535570,0.3353646376,8.626087e-09
